Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neuronal action potential (GO:0019228)	2/22	1.014884e-03	1.392709e-01	0	0	4.862683e+01	3.351838e+02	MYH14;SCN3A
GO_Biological_Process_2021	neural crest cell migration (GO:0001755)	2/37	2.866842e-03	1.392709e-01	0	0	2.776585e+01	1.625564e+02	SEMA3G;PHOX2B
GO_Biological_Process_2021	action potential (GO:0001508)	2/45	4.215395e-03	1.392709e-01	0	0	2.259104e+01	1.235507e+02	MYH14;SCN3A
GO_Biological_Process_2021	establishment of protein localization to extracellular region (GO:0035592)	2/46	4.401016e-03	1.392709e-01	0	0	2.207650e+01	1.197853e+02	ABCA1;RAB3C
GO_Biological_Process_2021	negative regulation of MAP kinase activity (GO:0043407)	2/48	4.783448e-03	1.392709e-01	0	0	2.111453e+01	1.128063e+02	UCHL1;IRAK3
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	2/56	6.460010e-03	1.392709e-01	0	0	1.797922e+01	9.065348e+01	TGFBR3;LAMA1
GO_Biological_Process_2021	protein secretion (GO:0009306)	2/64	8.365436e-03	1.392709e-01	0	0	1.565303e+01	7.487856e+01	ABCA1;RAB3C
GO_Biological_Process_2021	cellular response to BMP stimulus (GO:0071773)	2/71	1.021418e-02	1.392709e-01	0	0	1.406009e+01	6.445115e+01	TGFBR3;PHOX2B
GO_Biological_Process_2021	regulation of respiratory gaseous exchange by nervous system process (GO:0002087)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	PHOX2B
GO_Biological_Process_2021	alpha-beta T cell differentiation (GO:0046632)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	RSAD2
GO_Biological_Process_2021	negative regulation of macrophage cytokine production (GO:0010936)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	IRAK3
GO_Biological_Process_2021	cardiac muscle cell proliferation (GO:0060038)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	TGFBR3
GO_Biological_Process_2021	response to prostaglandin (GO:0034694)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	TGFBR3
GO_Biological_Process_2021	CD4-positive, alpha-beta T cell activation (GO:0035710)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	RSAD2
GO_Biological_Process_2021	striated muscle cell proliferation (GO:0014855)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	TGFBR3
GO_Biological_Process_2021	metanephric distal tubule development (GO:0072235)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	POU3F3
GO_Biological_Process_2021	de novo centriole assembly (GO:0097742)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	DEUP1
GO_Biological_Process_2021	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation (GO:0098535)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	DEUP1
GO_Biological_Process_2021	positive regulation of toll-like receptor 9 signaling pathway (GO:0034165)	1/5	1.070483e-02	1.392709e-01	0	0	1.187679e+02	5.388569e+02	RSAD2
GO_Biological_Process_2021	negative regulation of protein serine/threonine kinase activity (GO:0071901)	2/78	1.222688e-02	1.392709e-01	0	0	1.276059e+01	5.619915e+01	UCHL1;IRAK3
GO_Biological_Process_2021	negative regulation of cellular component organization (GO:0051129)	2/80	1.283134e-02	1.392709e-01	0	0	1.243215e+01	5.415275e+01	FAP;IRAK3
GO_Biological_Process_2021	equilibrioception (GO:0050957)	1/6	1.283234e-02	1.392709e-01	0	0	9.500952e+01	4.138412e+02	PCDH15
GO_Biological_Process_2021	response to gonadotropin (GO:0034698)	1/6	1.283234e-02	1.392709e-01	0	0	9.500952e+01	4.138412e+02	TGFBR3
GO_Biological_Process_2021	response to peptidoglycan (GO:0032494)	1/6	1.283234e-02	1.392709e-01	0	0	9.500952e+01	4.138412e+02	IRAK3
GO_Biological_Process_2021	contact inhibition (GO:0060242)	1/6	1.283234e-02	1.392709e-01	0	0	9.500952e+01	4.138412e+02	FAP
GO_Biological_Process_2021	positive regulation of toll-like receptor 7 signaling pathway (GO:0034157)	1/6	1.283234e-02	1.392709e-01	0	0	9.500952e+01	4.138412e+02	RSAD2
GO_Biological_Process_2021	ventricular compact myocardium morphogenesis (GO:0003223)	1/6	1.283234e-02	1.392709e-01	0	0	9.500952e+01	4.138412e+02	TGFBR3
GO_Biological_Process_2021	regulation of respiratory system process (GO:0044065)	1/7	1.495537e-02	1.392709e-01	0	0	7.917063e+01	3.327292e+02	PHOX2B
GO_Biological_Process_2021	regulation of toll-like receptor 7 signaling pathway (GO:0034155)	1/7	1.495537e-02	1.392709e-01	0	0	7.917063e+01	3.327292e+02	RSAD2
GO_Biological_Process_2021	heart trabecula formation (GO:0060347)	1/7	1.495537e-02	1.392709e-01	0	0	7.917063e+01	3.327292e+02	TGFBR3
GO_Biological_Process_2021	noradrenergic neuron differentiation (GO:0003357)	1/7	1.495537e-02	1.392709e-01	0	0	7.917063e+01	3.327292e+02	PHOX2B
GO_Biological_Process_2021	metanephric nephron tubule development (GO:0072234)	1/7	1.495537e-02	1.392709e-01	0	0	7.917063e+01	3.327292e+02	POU3F3
GO_Biological_Process_2021	definitive hemopoiesis (GO:0060216)	1/7	1.495537e-02	1.392709e-01	0	0	7.917063e+01	3.327292e+02	TGFBR3
GO_Biological_Process_2021	platelet dense granule organization (GO:0060155)	1/7	1.495537e-02	1.392709e-01	0	0	7.917063e+01	3.327292e+02	ABCA1
GO_Biological_Process_2021	sensory perception of mechanical stimulus (GO:0050954)	2/88	1.537652e-02	1.392709e-01	0	0	1.127113e+01	4.705599e+01	PCDH15;MYH14
GO_Biological_Process_2021	sensory perception of sound (GO:0007605)	2/91	1.638247e-02	1.392709e-01	0	0	1.088956e+01	4.477290e+01	PCDH15;MYH14
GO_Biological_Process_2021	alpha-beta T cell activation (GO:0046631)	1/8	1.707395e-02	1.392709e-01	0	0	6.785714e+01	2.761922e+02	RSAD2
GO_Biological_Process_2021	positive regulation of execution phase of apoptosis (GO:1900119)	1/8	1.707395e-02	1.392709e-01	0	0	6.785714e+01	2.761922e+02	FAP
GO_Biological_Process_2021	regulation of Cdc42 protein signal transduction (GO:0032489)	1/8	1.707395e-02	1.392709e-01	0	0	6.785714e+01	2.761922e+02	ABCA1
GO_Biological_Process_2021	coronary vasculature morphogenesis (GO:0060977)	1/8	1.707395e-02	1.392709e-01	0	0	6.785714e+01	2.761922e+02	TGFBR3
GO_Biological_Process_2021	positive regulation of T-helper 2 cell cytokine production (GO:2000553)	1/8	1.707395e-02	1.392709e-01	0	0	6.785714e+01	2.761922e+02	RSAD2
GO_Biological_Process_2021	multi-ciliated epithelial cell differentiation (GO:1903251)	1/8	1.707395e-02	1.392709e-01	0	0	6.785714e+01	2.761922e+02	DEUP1
GO_Biological_Process_2021	negative regulation of MAPK cascade (GO:0043409)	2/94	1.741591e-02	1.392709e-01	0	0	1.053287e+01	4.266205e+01	UCHL1;IRAK3
GO_Biological_Process_2021	sensory perception of light stimulus (GO:0050953)	2/95	1.776644e-02	1.392709e-01	0	0	1.041909e+01	4.199357e+01	EYA4;PCDH15
GO_Biological_Process_2021	regulation of MAP kinase activity (GO:0043405)	2/97	1.847648e-02	1.392709e-01	0	0	1.019872e+01	4.070570e+01	UCHL1;IRAK3
GO_Biological_Process_2021	negative regulation of protein-containing complex disassembly (GO:0043242)	1/9	1.918808e-02	1.392709e-01	0	0	5.937202e+01	2.347253e+02	IRAK3
GO_Biological_Process_2021	sympathetic ganglion development (GO:0061549)	1/9	1.918808e-02	1.392709e-01	0	0	5.937202e+01	2.347253e+02	PHOX2B
GO_Biological_Process_2021	negative regulation of cholesterol storage (GO:0010887)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	ABCA1
GO_Biological_Process_2021	negative regulation of extracellular matrix organization (GO:1903054)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	FAP
GO_Biological_Process_2021	regulation of urine volume (GO:0035809)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	TRPV5
GO_Biological_Process_2021	response to laminar fluid shear stress (GO:0034616)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	ABCA1
GO_Biological_Process_2021	cell differentiation involved in metanephros development (GO:0072202)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	POU3F3
GO_Biological_Process_2021	secretory granule organization (GO:0033363)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	ABCA1
GO_Biological_Process_2021	chloride ion homeostasis (GO:0055064)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	CA12
GO_Biological_Process_2021	toxin transport (GO:1901998)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	ANTXR2
GO_Biological_Process_2021	nucleic acid transport (GO:0050657)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	SIDT1
GO_Biological_Process_2021	monovalent inorganic anion homeostasis (GO:0055083)	1/10	2.129777e-02	1.392709e-01	0	0	5.277249e+01	2.031294e+02	CA12
GO_Biological_Process_2021	regulation of T-helper 2 cell cytokine production (GO:2000551)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	RSAD2
GO_Biological_Process_2021	regulation of toll-like receptor 9 signaling pathway (GO:0034163)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	RSAD2
GO_Biological_Process_2021	positive regulation of epidermal growth factor-activated receptor activity (GO:0045741)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	AREG
GO_Biological_Process_2021	response to prostaglandin E (GO:0034695)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	TGFBR3
GO_Biological_Process_2021	positive regulation of keratinocyte proliferation (GO:0010838)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	AREG
GO_Biological_Process_2021	negative regulation of response to cytokine stimulus (GO:0060761)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	IRAK3
GO_Biological_Process_2021	mitochondrion morphogenesis (GO:0070584)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	MYH14
GO_Biological_Process_2021	enteric nervous system development (GO:0048484)	1/11	2.340302e-02	1.392709e-01	0	0	4.749286e+01	1.783305e+02	PHOX2B
GO_Biological_Process_2021	ganglion development (GO:0061548)	1/12	2.550385e-02	1.392709e-01	0	0	4.317316e+01	1.583991e+02	PHOX2B
GO_Biological_Process_2021	cell differentiation in hindbrain (GO:0021533)	1/12	2.550385e-02	1.392709e-01	0	0	4.317316e+01	1.583991e+02	PHOX2B
GO_Biological_Process_2021	phospholipid efflux (GO:0033700)	1/12	2.550385e-02	1.392709e-01	0	0	4.317316e+01	1.583991e+02	ABCA1
GO_Biological_Process_2021	phospholipid homeostasis (GO:0055091)	1/12	2.550385e-02	1.392709e-01	0	0	4.317316e+01	1.583991e+02	ABCA1
GO_Biological_Process_2021	negative regulation of macrophage derived foam cell differentiation (GO:0010745)	1/13	2.760027e-02	1.392709e-01	0	0	3.957341e+01	1.420658e+02	ABCA1
GO_Biological_Process_2021	high-density lipoprotein particle assembly (GO:0034380)	1/13	2.760027e-02	1.392709e-01	0	0	3.957341e+01	1.420658e+02	ABCA1
GO_Biological_Process_2021	cell part morphogenesis (GO:0032990)	1/13	2.760027e-02	1.392709e-01	0	0	3.957341e+01	1.420658e+02	MYH14
GO_Biological_Process_2021	intracellular sterol transport (GO:0032366)	1/13	2.760027e-02	1.392709e-01	0	0	3.957341e+01	1.420658e+02	ABCA1
GO_Biological_Process_2021	regulation of fibrinolysis (GO:0051917)	1/13	2.760027e-02	1.392709e-01	0	0	3.957341e+01	1.420658e+02	FAP
GO_Biological_Process_2021	central nervous system neuron axonogenesis (GO:0021955)	1/13	2.760027e-02	1.392709e-01	0	0	3.957341e+01	1.420658e+02	PHOX2B
GO_Biological_Process_2021	pathway-restricted SMAD protein phosphorylation (GO:0060389)	1/13	2.760027e-02	1.392709e-01	0	0	3.957341e+01	1.420658e+02	TGFBR3
GO_Biological_Process_2021	positive regulation of cardiac muscle cell proliferation (GO:0060045)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	TGFBR3
GO_Biological_Process_2021	negative regulation of interleukin-12 production (GO:0032695)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	IRAK3
GO_Biological_Process_2021	calcium ion import across plasma membrane (GO:0098703)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	TRPV5
GO_Biological_Process_2021	secondary palate development (GO:0062009)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	TGFBR3
GO_Biological_Process_2021	cellular response to low-density lipoprotein particle stimulus (GO:0071404)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	ABCA1
GO_Biological_Process_2021	neuromuscular process controlling balance (GO:0050885)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	PCDH15
GO_Biological_Process_2021	regulation of macrophage cytokine production (GO:0010935)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	IRAK3
GO_Biological_Process_2021	positive regulation of type 2 immune response (GO:0002830)	1/14	2.969228e-02	1.392709e-01	0	0	3.652747e+01	1.284623e+02	RSAD2
GO_Biological_Process_2021	negative regulation of cellular component movement (GO:0051271)	1/15	3.177990e-02	1.406885e-01	0	0	3.391667e+01	1.169759e+02	TGFBR3
GO_Biological_Process_2021	calcium ion import into cytosol (GO:1902656)	1/15	3.177990e-02	1.406885e-01	0	0	3.391667e+01	1.169759e+02	TRPV5
GO_Biological_Process_2021	intracellular cholesterol transport (GO:0032367)	1/15	3.177990e-02	1.406885e-01	0	0	3.391667e+01	1.169759e+02	ABCA1
GO_Biological_Process_2021	regulation of extracellular matrix disassembly (GO:0010715)	1/15	3.177990e-02	1.406885e-01	0	0	3.391667e+01	1.169759e+02	FAP
GO_Biological_Process_2021	regulation of extracellular matrix organization (GO:1903053)	1/15	3.177990e-02	1.406885e-01	0	0	3.391667e+01	1.169759e+02	FAP
GO_Biological_Process_2021	regulation of cholesterol storage (GO:0010885)	1/16	3.386312e-02	1.459911e-01	0	0	3.165397e+01	1.071623e+02	ABCA1
GO_Biological_Process_2021	sympathetic nervous system development (GO:0048485)	1/16	3.386312e-02	1.459911e-01	0	0	3.165397e+01	1.071623e+02	PHOX2B
GO_Biological_Process_2021	protein localization to plasma membrane (GO:0072659)	2/136	3.456591e-02	1.459911e-01	0	0	7.216236e+00	2.428182e+01	RAB3C;TMEM88
GO_Biological_Process_2021	positive regulation of cardiac muscle tissue growth (GO:0055023)	1/17	3.594198e-02	1.459911e-01	0	0	2.967411e+01	9.869161e+01	TGFBR3
GO_Biological_Process_2021	negative regulation of cytokine production involved in immune response (GO:0002719)	1/17	3.594198e-02	1.459911e-01	0	0	2.967411e+01	9.869161e+01	IRAK3
GO_Biological_Process_2021	gliogenesis (GO:0042063)	1/17	3.594198e-02	1.459911e-01	0	0	2.967411e+01	9.869161e+01	PHOX2B
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	1/17	3.594198e-02	1.459911e-01	0	0	2.967411e+01	9.869161e+01	ABCA1
GO_Biological_Process_2021	muscle tissue morphogenesis (GO:0060415)	1/17	3.594198e-02	1.459911e-01	0	0	2.967411e+01	9.869161e+01	TGFBR3
GO_Biological_Process_2021	protein localization to cell periphery (GO:1990778)	2/140	3.644072e-02	1.465065e-01	0	0	7.005656e+00	2.320321e+01	RAB3C;TMEM88
GO_Biological_Process_2021	regulation of protein-containing complex disassembly (GO:0043244)	1/18	3.801646e-02	1.497848e-01	0	0	2.792717e+01	9.131448e+01	IRAK3
GO_Biological_Process_2021	regulation of catabolic process (GO:0009894)	1/18	3.801646e-02	1.497848e-01	0	0	2.792717e+01	9.131448e+01	FAP
GO_Biological_Process_2021	heart trabecula morphogenesis (GO:0061384)	1/19	4.008658e-02	1.523672e-01	0	0	2.637434e+01	8.483870e+01	TGFBR3
GO_Biological_Process_2021	negative regulation of axon extension involved in axon guidance (GO:0048843)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	SEMA3G
GO_Biological_Process_2021	positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	PHOX2B
GO_Biological_Process_2021	negative regulation of lipid storage (GO:0010888)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	ABCA1
GO_Biological_Process_2021	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	CLDN7
GO_Biological_Process_2021	hepaticobiliary system development (GO:0061008)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	TGFBR3
GO_Biological_Process_2021	cardiac epithelial to mesenchymal transition (GO:0060317)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	TGFBR3
GO_Biological_Process_2021	skeletal muscle contraction (GO:0003009)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	MYH14
GO_Biological_Process_2021	dopaminergic neuron differentiation (GO:0071542)	1/20	4.215235e-02	1.523672e-01	0	0	2.498496e+01	7.911400e+01	PHOX2B
GO_Biological_Process_2021	autonomic nervous system development (GO:0048483)	1/21	4.421378e-02	1.541613e-01	0	0	2.373452e+01	7.402131e+01	PHOX2B
GO_Biological_Process_2021	regulation of cardiac muscle cell proliferation (GO:0060043)	1/21	4.421378e-02	1.541613e-01	0	0	2.373452e+01	7.402131e+01	TGFBR3
GO_Biological_Process_2021	positive regulation of immune system process (GO:0002684)	1/21	4.421378e-02	1.541613e-01	0	0	2.373452e+01	7.402131e+01	RSAD2
GO_Biological_Process_2021	positive regulation of T cell cytokine production (GO:0002726)	1/21	4.421378e-02	1.541613e-01	0	0	2.373452e+01	7.402131e+01	RSAD2
GO_Biological_Process_2021	regulation of execution phase of apoptosis (GO:1900117)	1/22	4.627087e-02	1.599186e-01	0	0	2.260317e+01	6.946504e+01	FAP
GO_Biological_Process_2021	positive regulation of cell cycle G2/M phase transition (GO:1902751)	1/23	4.832364e-02	1.626771e-01	0	0	2.157468e+01	6.536769e+01	PHOX2B
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	1/23	4.832364e-02	1.626771e-01	0	0	2.157468e+01	6.536769e+01	EYA4
GO_Biological_Process_2021	negative regulation of signal transduction in absence of ligand (GO:1901099)	1/23	4.832364e-02	1.626771e-01	0	0	2.157468e+01	6.536769e+01	EYA4
GO_Biological_Process_2021	regulation of axon extension involved in axon guidance (GO:0048841)	1/24	5.037210e-02	1.626771e-01	0	0	2.063561e+01	6.166576e+01	SEMA3G
GO_Biological_Process_2021	regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	1/24	5.037210e-02	1.626771e-01	0	0	2.063561e+01	6.166576e+01	TGFBR3
GO_Biological_Process_2021	lipid translocation (GO:0034204)	1/24	5.037210e-02	1.626771e-01	0	0	2.063561e+01	6.166576e+01	ABCA1
GO_Biological_Process_2021	cholesterol efflux (GO:0033344)	1/24	5.037210e-02	1.626771e-01	0	0	2.063561e+01	6.166576e+01	ABCA1
GO_Biological_Process_2021	regulation of keratinocyte proliferation (GO:0010837)	1/24	5.037210e-02	1.626771e-01	0	0	2.063561e+01	6.166576e+01	AREG
GO_Biological_Process_2021	response to dsRNA (GO:0043331)	1/25	5.241625e-02	1.652160e-01	0	0	1.977480e+01	5.830677e+01	IRAK3
GO_Biological_Process_2021	divalent inorganic cation homeostasis (GO:0072507)	1/25	5.241625e-02	1.652160e-01	0	0	1.977480e+01	5.830677e+01	TRPV5
GO_Biological_Process_2021	ventricular cardiac muscle tissue development (GO:0003229)	1/25	5.241625e-02	1.652160e-01	0	0	1.977480e+01	5.830677e+01	TGFBR3
GO_Biological_Process_2021	negative regulation of protein transport (GO:0051224)	1/26	5.445610e-02	1.686190e-01	0	0	1.898286e+01	5.524696e+01	RSAD2
GO_Biological_Process_2021	membrane depolarization during action potential (GO:0086010)	1/26	5.445610e-02	1.686190e-01	0	0	1.898286e+01	5.524696e+01	SCN3A
GO_Biological_Process_2021	regulation of toll-like receptor signaling pathway (GO:0034121)	1/27	5.649166e-02	1.686190e-01	0	0	1.825183e+01	5.244960e+01	IRAK3
GO_Biological_Process_2021	regulation of blood coagulation (GO:0030193)	1/27	5.649166e-02	1.686190e-01	0	0	1.825183e+01	5.244960e+01	FAP
GO_Biological_Process_2021	camera-type eye development (GO:0043010)	1/27	5.649166e-02	1.686190e-01	0	0	1.825183e+01	5.244960e+01	LAMA1
GO_Biological_Process_2021	regulation of epidermal growth factor-activated receptor activity (GO:0007176)	1/27	5.649166e-02	1.686190e-01	0	0	1.825183e+01	5.244960e+01	AREG
GO_Biological_Process_2021	positive regulation of toll-like receptor signaling pathway (GO:0034123)	1/27	5.649166e-02	1.686190e-01	0	0	1.825183e+01	5.244960e+01	RSAD2
GO_Biological_Process_2021	negative regulation of axonogenesis (GO:0050771)	1/28	5.852294e-02	1.695444e-01	0	0	1.757496e+01	4.988364e+01	SEMA3G
GO_Biological_Process_2021	response to ketone (GO:1901654)	1/28	5.852294e-02	1.695444e-01	0	0	1.757496e+01	4.988364e+01	TGFBR3
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	1/28	5.852294e-02	1.695444e-01	0	0	1.757496e+01	4.988364e+01	EYA4
GO_Biological_Process_2021	ventricular septum morphogenesis (GO:0060412)	1/28	5.852294e-02	1.695444e-01	0	0	1.757496e+01	4.988364e+01	TGFBR3
GO_Biological_Process_2021	glial cell differentiation (GO:0010001)	1/29	6.054995e-02	1.704061e-01	0	0	1.694643e+01	4.752264e+01	PHOX2B
GO_Biological_Process_2021	MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	1/29	6.054995e-02	1.704061e-01	0	0	1.694643e+01	4.752264e+01	IRAK3
GO_Biological_Process_2021	response to alcohol (GO:0097305)	1/30	6.257269e-02	1.704061e-01	0	0	1.636125e+01	4.534399e+01	TGFBR3
GO_Biological_Process_2021	negative regulation of Wnt signaling pathway (GO:0030178)	2/191	6.347864e-02	1.704061e-01	0	0	5.102078e+00	1.406669e+01	TMEM88;APCDD1
GO_Biological_Process_2021	negative regulation of axon extension (GO:0030517)	1/31	6.459119e-02	1.704061e-01	0	0	1.581508e+01	4.332821e+01	SEMA3G
GO_Biological_Process_2021	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	1/31	6.459119e-02	1.704061e-01	0	0	1.581508e+01	4.332821e+01	TGFBR3
GO_Biological_Process_2021	negative regulation of interleukin-6 production (GO:0032715)	1/31	6.459119e-02	1.704061e-01	0	0	1.581508e+01	4.332821e+01	IRAK3
GO_Biological_Process_2021	negative regulation of response to biotic stimulus (GO:0002832)	1/31	6.459119e-02	1.704061e-01	0	0	1.581508e+01	4.332821e+01	IRAK3
GO_Biological_Process_2021	regulation of macrophage derived foam cell differentiation (GO:0010743)	1/31	6.459119e-02	1.704061e-01	0	0	1.581508e+01	4.332821e+01	ABCA1
GO_Biological_Process_2021	phospholipid translocation (GO:0045332)	1/31	6.459119e-02	1.704061e-01	0	0	1.581508e+01	4.332821e+01	ABCA1
GO_Biological_Process_2021	protein localization to membrane (GO:0072657)	2/195	6.582104e-02	1.704061e-01	0	0	4.995324e+00	1.359136e+01	RAB3C;TMEM88
