Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	RHO GTPases Activate PKNs R-HSA-5625740	2/62	7.868061e-03	2.628214e-01	0	0	1.617642e+01	7.837386e+01	MYH14;AREG
Reactome_2022	HDL Assembly R-HSA-8963896	1/7	1.495537e-02	2.628214e-01	0	0	7.917063e+01	3.327292e+02	ABCA1
Reactome_2022	Orexin And Neuropeptides FF And QRFP Bind To Their Respective Receptors R-HSA-389397	1/8	1.707395e-02	2.628214e-01	0	0	6.785714e+01	2.761922e+02	NPFFR2
Reactome_2022	Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303	1/8	1.707395e-02	2.628214e-01	0	0	6.785714e+01	2.761922e+02	AREG
Reactome_2022	EGFR Interacts With Phospholipase C-gamma R-HSA-212718	1/9	1.918808e-02	2.628214e-01	0	0	5.937202e+01	2.347253e+02	AREG
Reactome_2022	L1CAM Interactions R-HSA-373760	2/99	1.919840e-02	2.628214e-01	0	0	9.987428e+00	3.947958e+01	LAMA1;SCN3A
Reactome_2022	Uptake And Function Of Anthrax Toxins R-HSA-5210891	1/11	2.340302e-02	2.628214e-01	0	0	4.749286e+01	1.783305e+02	ANTXR2
Reactome_2022	GRB2 Events In EGFR Signaling R-HSA-179812	1/12	2.550385e-02	2.628214e-01	0	0	4.317316e+01	1.583991e+02	AREG
Reactome_2022	Reversible Hydration Of Carbon Dioxide R-HSA-1475029	1/12	2.550385e-02	2.628214e-01	0	0	4.317316e+01	1.583991e+02	CA12
Reactome_2022	SHC1 Events In EGFR Signaling R-HSA-180336	1/13	2.760027e-02	2.628214e-01	0	0	3.957341e+01	1.420658e+02	AREG
Reactome_2022	EPHA-mediated Growth Cone Collapse R-HSA-3928663	1/15	3.177990e-02	2.628214e-01	0	0	3.391667e+01	1.169759e+02	MYH14
Reactome_2022	Plasma Lipoprotein Assembly R-HSA-8963898	1/16	3.386312e-02	2.628214e-01	0	0	3.165397e+01	1.071623e+02	ABCA1
Reactome_2022	MET Activates PTK2 Signaling R-HSA-8874081	1/17	3.594198e-02	2.628214e-01	0	0	2.967411e+01	9.869161e+01	LAMA1
Reactome_2022	GAB1 Signalosome R-HSA-180292	1/17	3.594198e-02	2.628214e-01	0	0	2.967411e+01	9.869161e+01	AREG
Reactome_2022	Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085	1/19	4.008658e-02	2.628214e-01	0	0	2.637434e+01	8.483870e+01	MBOAT4
Reactome_2022	RHO GTPases Activate ROCKs R-HSA-5627117	1/19	4.008658e-02	2.628214e-01	0	0	2.637434e+01	8.483870e+01	MYH14
Reactome_2022	RHO GTPases Activate CIT R-HSA-5625900	1/19	4.008658e-02	2.628214e-01	0	0	2.637434e+01	8.483870e+01	MYH14
Reactome_2022	Sema4D Induced Cell Migration And Growth-Cone Collapse R-HSA-416572	1/20	4.215235e-02	2.628214e-01	0	0	2.498496e+01	7.911400e+01	MYH14
Reactome_2022	Synaptic Adhesion-Like Molecules R-HSA-8849932	1/21	4.421378e-02	2.628214e-01	0	0	2.373452e+01	7.402131e+01	LRFN2
Reactome_2022	RHO GTPases Activate PAKs R-HSA-5627123	1/21	4.421378e-02	2.628214e-01	0	0	2.373452e+01	7.402131e+01	MYH14
Reactome_2022	Laminin Interactions R-HSA-3000157	1/22	4.627087e-02	2.628214e-01	0	0	2.260317e+01	6.946504e+01	LAMA1
Reactome_2022	Sema4D In Semaphorin Signaling R-HSA-400685	1/24	5.037210e-02	2.628214e-01	0	0	2.063561e+01	6.166576e+01	MYH14
Reactome_2022	Signaling By EGFR In Cancer R-HSA-1643713	1/24	5.037210e-02	2.628214e-01	0	0	2.063561e+01	6.166576e+01	AREG
