Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Nitrogen metabolism	1/17	3.594198e-02	3.746660e-01	0	0	2.967411e+01	9.869161e+01	CA12
KEGG_2021_Human	Hepatitis C	2/157	4.483071e-02	3.746660e-01	0	0	6.231943e+00	1.934932e+01	RSAD2;CLDN7
KEGG_2021_Human	Tight junction	2/169	5.114217e-02	3.746660e-01	0	0	5.780634e+00	1.718667e+01	CLDN7;MYH14
KEGG_2021_Human	Pathogenic Escherichia coli infection	2/197	6.700313e-02	3.746660e-01	0	0	4.943590e+00	1.336260e+01	CLDN7;MYH14
KEGG_2021_Human	Fat digestion and absorption	1/43	8.848444e-02	3.746660e-01	0	0	1.128968e+01	2.737667e+01	ABCA1
KEGG_2021_Human	ABC transporters	1/45	9.240826e-02	3.746660e-01	0	0	1.077543e+01	2.566211e+01	ABCA1
KEGG_2021_Human	Cholesterol metabolism	1/50	1.021458e-01	3.746660e-01	0	0	9.673469e+00	2.206861e+01	ABCA1
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	1/53	1.079392e-01	3.746660e-01	0	0	9.114011e+00	2.028949e+01	TRPV5
KEGG_2021_Human	Glycosaminoglycan biosynthesis	1/53	1.079392e-01	3.746660e-01	0	0	9.114011e+00	2.028949e+01	HS3ST2
KEGG_2021_Human	Viral myocarditis	1/60	1.213156e-01	3.746660e-01	0	0	8.029863e+00	1.693787e+01	LAMA1
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	1.529909e-01	3.746660e-01	0	0	6.228383e+00	1.169302e+01	LAMA1
KEGG_2021_Human	ErbB signaling pathway	1/85	1.675082e-01	3.746660e-01	0	0	5.632937e+00	1.006450e+01	AREG
KEGG_2021_Human	Taste transduction	1/86	1.693057e-01	3.746660e-01	0	0	5.566387e+00	9.886176e+00	SCN3A
KEGG_2021_Human	Colorectal cancer	1/86	1.693057e-01	3.746660e-01	0	0	5.566387e+00	9.886176e+00	AREG
KEGG_2021_Human	ECM-receptor interaction	1/88	1.728894e-01	3.746660e-01	0	0	5.437876e+00	9.544036e+00	LAMA1
KEGG_2021_Human	PI3K-Akt signaling pathway	2/354	1.764242e-01	3.746660e-01	0	0	2.716879e+00	4.713415e+00	LAMA1;AREG
KEGG_2021_Human	Hypertrophic cardiomyopathy	1/90	1.764579e-01	3.746660e-01	0	0	5.315142e+00	9.220034e+00	LAMA1
KEGG_2021_Human	Small cell lung cancer	1/92	1.800114e-01	3.746660e-01	0	0	5.197802e+00	8.912855e+00	LAMA1
KEGG_2021_Human	Dilated cardiomyopathy	1/96	1.870734e-01	3.746660e-01	0	0	4.977945e+00	8.344300e+00	LAMA1
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	1/100	1.940761e-01	3.746660e-01	0	0	4.775854e+00	7.830035e+00	IL20RA
KEGG_2021_Human	Amoebiasis	1/102	1.975553e-01	3.746660e-01	0	0	4.680811e+00	7.591042e+00	LAMA1
KEGG_2021_Human	Protein digestion and absorption	1/103	1.992894e-01	3.746660e-01	0	0	4.634687e+00	7.475737e+00	COL8A1
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	1/106	2.044698e-01	3.746660e-01	0	0	4.501587e+00	7.145527e+00	TRPV5
KEGG_2021_Human	Toxoplasmosis	1/112	2.147325e-01	3.746660e-01	0	0	4.256971e+00	6.548764e+00	LAMA1
KEGG_2021_Human	Leukocyte transendothelial migration	1/114	2.181246e-01	3.746660e-01	0	0	4.181205e+00	6.366675e+00	CLDN7
KEGG_2021_Human	Neurotrophin signaling pathway	1/119	2.265423e-01	3.746660e-01	0	0	4.003027e+00	5.943789e+00	IRAK3
KEGG_2021_Human	Vascular smooth muscle contraction	1/133	2.496437e-01	3.975807e-01	0	0	3.575938e+00	4.962403e+00	MYH14
KEGG_2021_Human	Cell adhesion molecules	1/148	2.736473e-01	4.202441e-01	0	0	3.208617e+00	4.158095e+00	CLDN7
KEGG_2021_Human	JAK-STAT signaling pathway	1/162	2.953731e-01	4.238921e-01	0	0	2.927536e+00	3.570178e+00	IL20RA
KEGG_2021_Human	Hippo signaling pathway	1/163	2.969004e-01	4.238921e-01	0	0	2.909318e+00	3.532955e+00	AREG
KEGG_2021_Human	Influenza A	1/172	3.105015e-01	4.238921e-01	0	0	2.754943e+00	3.222089e+00	RSAD2
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	3.238455e-01	4.238921e-01	0	0	2.616005e+00	2.949516e+00	ANTXR2
KEGG_2021_Human	Axon guidance	1/182	3.253125e-01	4.238921e-01	0	0	2.601421e+00	2.921314e+00	SEMA3G
KEGG_2021_Human	Focal adhesion	1/201	3.526022e-01	4.459381e-01	0	0	2.352024e+00	2.451784e+00	LAMA1
KEGG_2021_Human	Lipid and atherosclerosis	1/215	3.720175e-01	4.492345e-01	0	0	2.196595e+00	2.172025e+00	ABCA1
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	3.761033e-01	4.492345e-01	0	0	2.165899e+00	2.118014e+00	MYH14
KEGG_2021_Human	Parkinson disease	1/249	4.168317e-01	4.844260e-01	0	0	1.892185e+00	1.655800e+00	UCHL1
KEGG_2021_Human	MAPK signaling pathway	1/294	4.713694e-01	5.209867e-01	0	0	1.597920e+00	1.201817e+00	AREG
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	4.725229e-01	5.209867e-01	0	0	1.592404e+00	1.193776e+00	IL20RA
KEGG_2021_Human	Human papillomavirus infection	1/331	5.124508e-01	5.485202e-01	0	0	1.416089e+00	9.467273e-01	LAMA1
KEGG_2021_Human	Neuroactive ligand-receptor interaction	1/341	5.230077e-01	5.485202e-01	0	0	1.373739e+00	8.904018e-01	NPFFR2
KEGG_2021_Human	Pathways of neurodegeneration	1/475	6.446565e-01	6.600055e-01	0	0	9.786518e-01	4.296649e-01	UCHL1
KEGG_2021_Human	Pathways in cancer	1/531	6.859834e-01	6.859834e-01	0	0	8.727314e-01	3.289341e-01	LAMA1
