Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	LDL Remodeling R-HSA-8964041	1/6	1.199524e-03	1.065927e-02	0	0	1.332733e+03	8.963738e+03	CETP
Reactome_2022	Interleukin-36 Pathway R-HSA-9014826	1/7	1.399341e-03	1.065927e-02	0	0	1.110556e+03	7.298298e+03	IL36G
Reactome_2022	HDL Remodeling R-HSA-8964058	1/10	1.998613e-03	1.065927e-02	0	0	7.402593e+02	4.600935e+03	CETP
Reactome_2022	Plasma Lipoprotein Remodeling R-HSA-8963899	1/33	6.584096e-03	2.297932e-02	0	0	2.079583e+02	1.044595e+03	CETP
Reactome_2022	NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569	1/36	7.181036e-03	2.297932e-02	0	0	1.901048e+02	9.384163e+02	CETP
Reactome_2022	NR1H2 And NR1H3-mediated Signaling R-HSA-9024446	1/46	9.168896e-03	2.445039e-02	0	0	1.477852e+02	6.933990e+02	CETP
Reactome_2022	Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824	1/71	1.412549e-02	3.228684e-02	0	0	9.488571e+01	4.041917e+02	CETP
Reactome_2022	Interleukin-1 Family Signaling R-HSA-446652	1/152	3.005724e-02	6.011447e-02	0	0	4.380795e+01	1.535316e+02	IL36G
Reactome_2022	Keratinization R-HSA-6805567	1/208	4.095834e-02	7.281482e-02	0	0	3.186634e+01	1.018193e+02	KRTAP19-2
Reactome_2022	Signaling By Nuclear Receptors R-HSA-9006931	1/260	5.099827e-02	8.159724e-02	0	0	2.540154e+01	7.559407e+01	CETP
Reactome_2022	Signaling By Interleukins R-HSA-449147	1/453	8.757413e-02	1.273806e-01	0	0	1.441298e+01	3.509949e+01	IL36G
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	1/702	1.331885e-01	1.648086e-01	0	0	9.174988e+00	1.849668e+01	IL36G
Reactome_2022	Transport Of Small Molecules R-HSA-382551	1/706	1.339070e-01	1.648086e-01	0	0	9.121040e+00	1.833885e+01	CETP
Reactome_2022	Developmental Biology R-HSA-1266738	1/1073	1.979527e-01	2.262317e-01	0	0	5.884328e+00	9.531006e+00	KRTAP19-2
Reactome_2022	Immune System R-HSA-168256	1/1943	3.355708e-01	3.579422e-01	0	0	3.098867e+00	3.383722e+00	IL36G
Reactome_2022	Signal Transduction R-HSA-162582	1/2465	4.091392e-01	4.091392e-01	0	0	2.371753e+00	2.119635e+00	CETP
